,Scientific Names,CommonName,Region,Country,Average_Weight,Status,HomeRange_ha,Habitat_Forest,Habitat_Savanna,Habitat_Shrubland,Habitat_Grassland,Habitat_Wetlands,Habitat_Rocky_areas,Habitat_Desert,Home_Range_log,AverageWeight_log,Locomotion_BOTH,Locomotion_T,DielActivity_D,DielActivity_N,TrophicGuild_Folivore,TrophicGuild_Frugivore,TrophicGuild_Gummivore,TrophicGuild_Insectivore,TrophicGuild_Omnivore
207,Tarsiidae Tarsius,Peleng Tarsier,South East Asia,Indonesia,0.16,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8325814637483102,0,0,0,1,0,0,0,1,0
208,Cercopithecidae Piliocolobus,Pennant s Red Colobus,West Africa,Congo,7.4,3,73.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.290459441148391,2.0014800002101243,0,0,1,0,0,0,0,0,0
209,Indriidae Propithecus,Perrier s Sifaka,Madagascar,Madagascar,4.33,4,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4011973816621555,1.4655675420143985,0,0,1,0,0,0,0,0,0
210,Atelidae Lagothrix,Peruvian Yellow tailed Woolly Monkey,South America,Peru,7.25,4,114.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.740574822994295,1.9810014688665833,0,0,1,0,0,1,0,0,0
211,Lepilemuridae Lepilemur,Petter s Sportive Lemur,Madagascar,Madagascar,0.62,2,0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2039728043259361,-0.4780358009429998,0,0,0,1,1,0,0,0,0
212,Indriidae Avahi,Peyrieras s Woolly Lemur,Madagascar,Madagascar,1.08,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0769610411361284,0,0,0,1,1,0,0,0,0
213,Cercopithecidae Trachypithecus,Phayre s Langur,South East Asia,India,7.44,3,82.37,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.411221292953157,2.0068708488450007,0,0,1,0,1,0,0,0,0
214,Lorisidae Nycticebus,Philippine Slow Loris,South East Asia,Philipines,0.285,2,4.76,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5602476682433286,-1.2552660987134867,0,0,0,1,0,0,0,0,1
215,Tarsiidae Carlito,Philippine Tarsier,South America,Brazil,0.13,1,4.4030000000000005,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.482286126773617,-2.0402208285265546,0,0,0,1,0,0,0,1,0
216,Callitrichidae Saguinus,Pied Tamarin,South America,Brazil,0.43,3,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4849066497880004,-0.843970070294529,0,0,1,0,0,1,0,0,0
217,Cercopithecidae Simias,Pig tailed Langur,South East Asia,Indonesia,7.97,4,7.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9600947840472698,2.075684492802124,1,0,1,0,1,0,0,0,0
218,Hylobatidae Hylobates,Pileated Gibbon,South East Asia,Indonesia,5.47,3,36.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.58351893845611,1.6992786164338898,0,0,1,0,0,1,0,0,0
219,Atelidae Lagothrix,Poeppig s Woolly Monkey,Central America,Ecuador,7.25,2,116.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7535901911063645,1.9810014688665833,0,0,1,0,0,1,0,0,0
220,Cercopithecidae Piliocolobus,Preuss s Red Colobus,North West Africa,Cameroon,8.3,4,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.605170185988092,2.1162555148025524,0,0,1,0,1,0,0,0,0
221,Cercopithecidae Nasalis,Proboscis Monkey,South East Asia,Indonesia,15.75,3,900.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.802394763324311,2.7568403652716422,0,0,1,0,0,0,0,0,0
222,Cercopithecidae Semnopithecus,Purple faced Langur,South East Asia,India,7.03,3,5.375,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.6817585740137264,1.9501867058225735,0,0,1,0,0,1,0,0,0
223,Cercopithecidae Cercopithecus,Putty nosed Monkey,North West Africa,Benine,5.46,0,80.25,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.385146762010125,1.6974487897568136,0,0,1,0,0,1,0,0,0
224,Callitrichidae Cebuella,Pygmy Marmoset,Central America,Ecuador,0.12,0,0.34,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0788096613719298,-2.120263536200091,0,0,1,0,0,0,0,0,1
225,Lorisidae Nycticebus,Pygmy Slow Loris,South East Asia,Borneo,0.42,2,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.833213344056216,-0.8675005677047231,0,0,0,1,0,0,1,0,0
